place,esite,etype,area,location,id,email,site,bu,type
Cảng trấu,Cat Lai,Fire Hydrant,H&S,Cảng trấu,CATL-FHC013,thuan.luu@siamcitycement.com,catl,vn,hydrant
K41-BC3,Cat Lai,Fire Hydrant,H&S,K41-BC3,CATL-FHC014,thuan.luu@siamcitycement.com,catl,vn,hydrant
K41-BC1,Cat Lai,Fire Hydrant,H&S,K41-BC1,CATL-FHC015,thuan.luu@siamcitycement.com,catl,vn,hydrant
Đầu kho đá,Cat Lai,Fire Hydrant,ECO,Đầu kho đá,CATL-FHC016,nghiem.vu@siamcitycement.com,catl,vn,hydrant
Giữa kho đá,Cat Lai,Fire Hydrant,ECO,Giữa kho đá,CATL-FHC017,nghiem.vu@siamcitycement.com,catl,vn,hydrant
Crusher,Cat Lai,Fire Hydrant,ECO,Crusher,CATL-FHC018,nghiem.vu@siamcitycement.com,catl,vn,hydrant
Lên phễu đá vôi,Cat Lai,Fire Hydrant,H&S,Lên phễu đá vôi,CATL-FHC019,thuan.luu@siamcitycement.com,catl,vn,hydrant
Cảng giao bao,Cat Lai,Fire Hydrant,H&S,Cảng giao bao,CATL-FHC020,thuan.luu@siamcitycement.com,catl,vn,hydrant
Cầu tàu,Cat Lai,Fire Hydrant,H&S,Cầu tàu,CATL-FHC021,thuan.luu@siamcitycement.com,catl,vn,hydrant
Kho dầu HFO2 + Foam,Cat Lai,Fire Hydrant,ECO,Kho dầu HFO2,CATL-FHC022,nghiem.vu@siamcitycement.com,catl,vn,hydrant
Rừng cây,Cat Lai,Fire Hydrant,SCN,Rừng cây,CATL-FHC024,thuan.luu@siamcitycement.com,catl,vn,hydrant
Kho ECO 03 (ECO WH 03_01),Cat Lai,Fire Hydrant,ECO,Kho ECO 03 (ECO WH 03_01),CATL-FHC025,nghiem.vu@siamcitycement.com,catl,vn,hydrant
Kho ECO 03 (ECO WH 03_02),Cat Lai,Fire Hydrant,ECO,Kho ECO 03 (ECO WH 03_02),CATL-FHC026,nghiem.vu@siamcitycement.com,catl,vn,hydrant
Kho sling,Cat Lai,Fire Hydrant,SCN,Kho sling,CATL-FHC027,thuan.luu@siamcitycement.com,catl,vn,hydrant
Kho sling,Cat Lai,Fire Hydrant,SCN,Kho sling,CATL-FHC028,thuan.luu@siamcitycement.com,catl,vn,hydrant
Kho sling,Cat Lai,Fire Hydrant,SCN,Kho sling,CATL-FHC029,thuan.luu@siamcitycement.com,catl,vn,hydrant
Kho sling,Cat Lai,Fire Hydrant,SCN,Kho sling,CATL-FHC030,thuan.luu@siamcitycement.com,catl,vn,hydrant
Kho sling,Cat Lai,Fire Hydrant,SCN,Kho sling,CATL-FHC031,thuan.luu@siamcitycement.com,catl,vn,hydrant
Kho sling,Cat Lai,Fire Hydrant,SCN,Kho sling,CATL-FHC032,thuan.luu@siamcitycement.com,catl,vn,hydrant
Kho sling,Cat Lai,Fire Hydrant,SCN,Kho sling,CATL-FHC033,thuan.luu@siamcitycement.com,catl,vn,hydrant
Kho sling,Cat Lai,Fire Hydrant,SCN,Kho sling,CATL-FHC034,thuan.luu@siamcitycement.com,catl,vn,hydrant
Silo,Cat Lai,Fire Hydrant,PRD,Kho bao 1,CATL-FHC035,nam.thanh.nguyen@siamcitycement.com,catl,vn,hydrant
Silo,Cat Lai,Fire Hydrant,PRD,Kho bao 2,CATL-FHC036,nam.thanh.nguyen@siamcitycement.com,catl,vn,hydrant
Inside,,,Trạm bơm,,THIV-ME-WP-01,son.pham@siamcitycement.com,thiv,vn,pump
Inside,,,Trạm bơm,,THIV-ME-WP-02,son.pham@siamcitycement.com,thiv,vn,pump
Inside,,,Trạm bơm,,THIV-ME-WP-03,son.pham@siamcitycement.com,thiv,vn,pump
Inside,,,Trạm bơm,,THIV-ME-WP-04,son.pham@siamcitycement.com,thiv,vn,pump
Inside,,,động cơ bơm bù áp pccc,,THIV-ME-WP-05,son.pham@siamcitycement.com,thiv,vn,pump
Inside,,,Xử lý nước thải,,THIV-ME-WP-06,son.pham@siamcitycement.com,thiv,vn,pump
Inside,,,Khu XLNT,,THIV-ME-WP-N11-TK1,son.pham@siamcitycement.com,thiv,vn,pump
Inside,,,Trạm bơm,,THIV-ME-M30-TP2,son.pham@siamcitycement.com,thiv,vn,pump
Inside,,,Trạm bơm,,THIV-ME-M30-TP1,son.pham@siamcitycement.com,thiv,vn,pump
Khu vực nhà tròn,,,OHS,In side,THIV-FH-06,vu.ho@siamcitycement.com,thiv,vn,hydrant
Khu vực cảng mới- giữa Cảng,,,OHS,In side,THIV-FH-10,vu.ho@siamcitycement.com,thiv,vn,hydrant
Băng tải 491- BC3 khu vực máy nghiền.,,,OHS,In side,THIV-FH-18,vu.ho@siamcitycement.com,thiv,vn,hydrant
Sàn thao tác đi ra silo thạch cao,,,OHS,In side,THIV-FH-22,vu.ho@siamcitycement.com,thiv,vn,hydrant
"Sàn thao tác băng tải 491- BC1  băng tải dưới  
cách khu vực đỉnh máy nghiền khoàng 15 mét",,,OHS,In side,THIV-FH-24,vu.ho@siamcitycement.com,thiv,vn,hydrant
Khu vực máy nghiền,,,OHS,In side,THIV-FH-28,vu.ho@siamcitycement.com,thiv,vn,hydrant
Work shop Cửa gần khu hàn cắt,,,OHS,In side,THIV-FH-29,vu.ho@siamcitycement.com,thiv,vn,hydrant
Khu vực chứa vỏ bao khu đóng bao,,,OHS,In side,THIV-FH-35,vu.ho@siamcitycement.com,thiv,vn,hydrant
khu vực tầng tầng 2 packer 3,,,OHS,In side,THIV-FH-38,vu.ho@siamcitycement.com,thiv,vn,hydrant
"Đường ra cảng Lớn, dưới chân trụ thang máy",,,OHS,In side,THIV-FH-13,vu.ho@siamcitycement.com,thiv,vn,hydrant
"Khu vực băng đầu băng tải 491- BC3 ( băng tải phía trên ) 
ở chân cầu sắt đi ra cảng",,,OHS,In side,THIV-FH-17,vu.ho@siamcitycement.com,thiv,vn,hydrant
Khu vực máy nghiền  gần bồn dầu HFO,,,OHS,In side,THIV-FH-27,vu.ho@siamcitycement.com,thiv,vn,hydrant
Workshop  lầu 1 hành lang đi qua CCR,,,OHS,In side,THIV-FH-32,vu.ho@siamcitycement.com,thiv,vn,hydrant
khu vực tầng tầng 3 packer 3,,,OHS,In side,THIV-FH-39,vu.ho@siamcitycement.com,thiv,vn,hydrant
Tại cầu cần ra  bên cạnh cầu cân ra,,,OHS,In side,THIV-FH-02,vu.ho@siamcitycement.com,thiv,vn,hydrant
Khu vực cảng mới- đầu Cảng,,,OHS,In side,THIV-FH-09,vu.ho@siamcitycement.com,thiv,vn,hydrant
Khu vực cảng Lớn - bên trái Giữa Cảng,,,OHS,In side,THIV-FH-14,vu.ho@siamcitycement.com,thiv,vn,hydrant
Băng tải 491- BC3 cách đỉnh Silo clinker khoảng 15 mét,,,OHS,In side,THIV-FH-20,vu.ho@siamcitycement.com,thiv,vn,hydrant
Góc tòa nhà Admin  đối diện căn tin nhân viên INSEE,,,OHS,In side,THIV-FH-26,vu.ho@siamcitycement.com,thiv,vn,hydrant
khu vực tầng tầng 1 packer 3,,,OHS,In side,THIV-FH-37,vu.ho@siamcitycement.com,thiv,vn,hydrant
Trước cầu cân ra khoảng 20 mét,,,OHS,In side,THIV-FH-03,vu.ho@siamcitycement.com,thiv,vn,hydrant
Khu vực cổng phụ,,,OHS,In side,THIV-FH-04,vu.ho@siamcitycement.com,thiv,vn,hydrant
Khu vực sau lưng kho Ola,,,OHS,In side,THIV-FH-08,vu.ho@siamcitycement.com,thiv,vn,hydrant
Cửa chính vào Khu vực CCR,,,OHS,In side,THIV-FH-31,vu.ho@siamcitycement.com,thiv,vn,hydrant
khu vực tầng tầng 4 packer 3,,,OHS,In side,THIV-FH-40,vu.ho@siamcitycement.com,thiv,vn,hydrant
Khu vực cảng mới- Cuối Cảng,,,OHS,In side,THIV-FH-11,vu.ho@siamcitycement.com,thiv,vn,hydrant
Khu vực cảng Lớn -bên phải,,,OHS,In side,THIV-FH-16,vu.ho@siamcitycement.com,thiv,vn,hydrant
Khu vực đỉnh máy nghiền đi xuống từ băng tải 491-BC1,,,OHS,In side,THIV-FH-25,vu.ho@siamcitycement.com,thiv,vn,hydrant
khu vực tầng tầng 5 packer 3,,,OHS,In side,THIV-FH-41,vu.ho@siamcitycement.com,thiv,vn,hydrant
Khu vực nhà xe INSEE,,,OHS,In side,THIV-FH-05,vu.ho@siamcitycement.com,thiv,vn,hydrant
"Đường ra cảng Lớn, gần Bồn Dầu DO",,,OHS,In side,THIV-FH-12,vu.ho@siamcitycement.com,thiv,vn,hydrant
Băng tải 491- BC3 hướng đi lên đỉnh silo clinker,,,OHS,In side,THIV-FH-19,vu.ho@siamcitycement.com,thiv,vn,hydrant
Sàn đi ra silo thạch cao ( ở tầng dưới đỉnh silo clinker ),,,OHS,In side,THIV-FH-21,vu.ho@siamcitycement.com,thiv,vn,hydrant
Sàn thao tác băng tải 491- BC1  băng tải dưới,,,OHS,In side,THIV-FH-23,vu.ho@siamcitycement.com,thiv,vn,hydrant
CCR Cửa vào phía Phòng Ola,,,OHS,In side,THIV-FH-33,vu.ho@siamcitycement.com,thiv,vn,hydrant
Khu vực tần 1 hotgas,,,OHS,In side,THIV-FH-42,vu.ho@siamcitycement.com,thiv,vn,hydrant
Work shop Cửa đối diện CCR,,,OHS,In side,THIV-FH-30,vu.ho@siamcitycement.com,thiv,vn,hydrant
khu vực tầng trệt packer 3,,,OHS,In side,THIV-FH-36,vu.ho@siamcitycement.com,thiv,vn,hydrant
Lối ra cổng chínhcách cổng bảo vệ khoản g 15 mét,,,OHS,In side,THIV-FH-01,vu.ho@siamcitycement.com,thiv,vn,hydrant
Khu vực sau lưng nhà nghỉ Vũng tàu ship,,,OHS,In side,THIV-FH-07,vu.ho@siamcitycement.com,thiv,vn,hydrant
Khu vực cảng Lớn -bên trái Cuối Cảng,,,OHS,In side,THIV-FH-15,vu.ho@siamcitycement.com,thiv,vn,hydrant
Khu vực xuất hàng cầu 2,,,OHS,In side,THIV-FH-34,vu.ho@siamcitycement.com,thiv,vn,hydrant
In side,,,Cement Mill,,THIV-WV-26,phuoc.le@siamcitycement.com,thiv,vn,valve
In side,,,Đồng hồ Nhà máy (Electricity Parameter),,THIV-WV-02,phuoc.le@siamcitycement.com,thiv,vn,valve
In side,,,XLNT + Miếu,,THIV-WV-04,phuoc.le@siamcitycement.com,thiv,vn,valve
In side,,,"Electricity Parameter: 
Q10 + Q11 + Q12 + Q13 = WC Lab, Y tế, 
CCR + WC workshop +
 Tưới cỏ workshop, WF, lab, CCR, máy phát điện.",,THIV-WV-09,phuoc.le@siamcitycement.com,thiv,vn,valve
In side,,,Tưới cỏ Workshop - trạm J (Trước phòng Vương),,THIV-WV-12,phuoc.le@siamcitycement.com,thiv,vn,valve
In side,,,Tưới cỏ Cảng nhỏ,,THIV-WV-16,phuoc.le@siamcitycement.com,thiv,vn,valve
In side,,,WC Căn tin bốc xếp,,THIV-WV-17,phuoc.le@siamcitycement.com,thiv,vn,valve
In side,,,TK2 : Mill coolant,,THIV-WV-05,phuoc.le@siamcitycement.com,thiv,vn,valve
In side,,,Vệ sinh CBA + tưới đường + Q8: WC bãi slag,,THIV-WV-06,phuoc.le@siamcitycement.com,thiv,vn,valve
In side,,,Nhà dân (Thạnh Long),,THIV-WV-25,phuoc.le@siamcitycement.com,thiv,vn,valve
In side,,,Bồn nước chính,,THIV-WV-27,phuoc.le@siamcitycement.com,thiv,vn,valve
In side,,,"Tưới cỏ Workshop - WF (Tưới cỏ Lab, 
CCR, Máy phát điện, trước bồn dầu DO)",,THIV-WV-13,phuoc.le@siamcitycement.com,thiv,vn,valve
In side,,,Căn tin INSEE,,THIV-WV-20,phuoc.le@siamcitycement.com,thiv,vn,valve
In side,,,Tưới cỏ khu vực dưới OK Mill,,THIV-WV-29,phuoc.le@siamcitycement.com,thiv,vn,valve
In side,,,"Tổng cầu cân (tưới cỏ cầu cân; 
WC cầu cân; Q4: XLNT + Miếu)",,THIV-WV-03,phuoc.le@siamcitycement.com,thiv,vn,valve
In side,,,WC Admin,,THIV-WV-22,phuoc.le@siamcitycement.com,thiv,vn,valve
In side,,,PCCC,,THIV-WV-07,phuoc.le@siamcitycement.com,thiv,vn,valve
In side,,,WC bãi Slag,,THIV-WV-08,phuoc.le@siamcitycement.com,thiv,vn,valve
In side,,,"WC Lab, Y tế, CCR",,THIV-WV-10,phuoc.le@siamcitycement.com,thiv,vn,valve
In side,,,Tổng Admin,,THIV-WV-18,phuoc.le@siamcitycement.com,thiv,vn,valve
In side,,,"Cây mận (Locker, căn tin tài xế, tưới 
cỏ Safety café, tưới cỏ cổng phụ)",,THIV-WV-24,phuoc.le@siamcitycement.com,thiv,vn,valve
In side,,,Nước thải,,THIV-WV-28,phuoc.le@siamcitycement.com,thiv,vn,valve
In side,,,Đồng hồ KCN,,THIV-WV-01,phuoc.le@siamcitycement.com,thiv,vn,valve
In side,,,WC Truck loader + Tưới cỏ khu Packer,,THIV-WV-15,phuoc.le@siamcitycement.com,thiv,vn,valve
In side,,,"Tưới cỏ hàng tre, căn tin INSEE --> 
trước căn tin INSEE, căn tin bốc xêp",,THIV-WV-19,phuoc.le@siamcitycement.com,thiv,vn,valve
In side,,,Tưới cỏ Admin,,THIV-WV-23,phuoc.le@siamcitycement.com,thiv,vn,valve
In side,,,WC Workshop,,THIV-WV-11,phuoc.le@siamcitycement.com,thiv,vn,valve
In side,,,"Khu Packer (WC Packer + Q15: WC truck loader,
 tưới cỏ packer)",,THIV-WV-14,phuoc.le@siamcitycement.com,thiv,vn,valve
In side,,,WC căn tin INSEE,,THIV-WV-21,phuoc.le@siamcitycement.com,thiv,vn,valve
Kho chất trợ nghiền,,,Trạm bơm,Inside,THIV-ME-FT-01,son.pham@siamcitycement.com,thiv,vn,foam
Cửa ra vào căn tin nhân viên INSEE,,,OHS,Inside,THIV-FB-16,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Kho OLA cảng nhò - BÊN TRONG KHO tầng trệt,,,OHS,Inside,THIV-FB-22,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Kho OLA cảng nhỏ__ Bên phải tầng 1,,,OHS,Inside,THIV-FB-27,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Khu vực cầu đá_ Dưới phễu đá Pozzolan,,,OHS,Inside,THIV-FB-28,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Kho vật tư bên trong workshop ( Mr. Dan),,,OHS,Inside,THIV-FB-32,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Hành lang trạm điện - MÁY PHÁT tầng trệt,,,OHS,Inside,THIV-FB-47,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Hành lang Bồn Dầu - KHO CHẤT THẢI,,,OHS,Inside,THIV-FB-57,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Hành lang Bồn Dầu MẶT TRƯỚC- KHO CHẤT THẢI,,,OHS,Inside,THIV-FB-58,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng trệt lò đốt - HOTGAS,,,OHS,Inside,THIV-FB-66,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Cảng Lớn H7 - Cảng lớn quẹo phải,,,OHS,Inside,THIV-FB-79,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Cảng Lớn H7 - Cảng lớn quẹo phải,,,OHS,Inside,THIV-FB-81,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng 2 - KHU ĐÓNG BAO,,,OHS,Inside,THIV-FB-86,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng 2 - KHU SẠC XÁ,,,OHS,Inside,THIV-FB-95,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Kho chứa hóa chất,,,OHS,Inside,THIV-FB-104,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng trệt - Khu PACKER,,,OHS,Inside,THIV-FB-105,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng 4 - Khu PACKER,,,OHS,Inside,THIV-FB-111,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Khu vực xuất xi măng bao 50 kg cho ghe_ Bên trái cảng nhỏ tầng trệt,,,OHS,Inside,THIV-FB-23,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Kho OLA cảng nhỏ. Hành lang giữa tầng 1,,,OHS,Inside,THIV-FB-25,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Kho vật tư bên trong workshop ( Mr. Dan),,,OHS,Inside,THIV-FB-29,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Kho vật tư bên trong workshop ( Mr. Dan),,,OHS,Inside,THIV-FB-30,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Khu vực Phòng Lab _ Hành lang tầng TRỆT,,,OHS,Inside,THIV-FB-43,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Xe làm Vệ Sinh,,,OHS,Inside,THIV-FB-44,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Trạm điện tầng 1 - TRẠM NGHIỀN,,,OHS,Inside,THIV-FB-54,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Cầu thang bộ tầng 1 - HOTGAS,,,OHS,Inside,THIV-FB-69,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng 3 - TRẠM NGHIỀN,,,OHS,Inside,THIV-FB-76,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng 4 - KHU ĐÓNG BAO,,,OHS,Inside,THIV-FB-88,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng trệt - KHU SẠC XÁ,,,OHS,Inside,THIV-FB-92,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Line giửa cầu 1 và 2-KHU XUẤT HÀNG,,,OHS,Inside,THIV-FB-97,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Kho chứa hóa chất,,,OHS,Inside,THIV-FB-102,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng 3 - Khu PACKER,,,OHS,Inside,THIV-FB-110,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng 5 - Khu PACKER,,,OHS,Inside,THIV-FB-112,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Khu vực trạm điện cổng chính _ Phía tay phải tầng 1,,,OHS,Inside,THIV-FB-06,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Khu vực căn tin tài xế_ Phía bãi đậu xe chờ,,,OHS,Inside,THIV-FB-09,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Phòng IT,,,OHS,Inside,THIV-FB-14,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Căn tin nhà thầu vũng tàu ship_ Cửa ra vào,,,OHS,Inside,THIV-FB-18,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Khu vực CCR _ Hành lang tầng 1,,,OHS,Inside,THIV-FB-41,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Hành lang trạm điện - MÁY PHÁT tầng trệt,,,OHS,Inside,THIV-FB-46,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Cảng Lớn H7 - đối diện chố bảo vệ H7,,,OHS,Inside,THIV-FB-78,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng 1 - KHU SẠC XÁ,,,OHS,Inside,THIV-FB-93,vu.ho@siamcitycement.com,thiv,vn,extinguisher
kHO SAG-H8,,,OHS,Inside,THIV-FB-99,vu.ho@siamcitycement.com,thiv,vn,extinguisher
kHO SAG-H8,,,OHS,Inside,THIV-FB-101,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng trệt - Khu PACKER,,,OHS,Inside,THIV-FB-107,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Khu vực hành lang phòng đào tạo INSEE,,,OHS,Inside,THIV-FB-10,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Phòng chế biến thức ăn _ Căn tin nhân viên Insee,,,OHS,Inside,THIV-FB-17,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Khu vực xưởng sửa chữa bảo trì ( workshop),,,OHS,Inside,THIV-FB-37,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Khu vực hành lang bảo trì điện ( Worshop),,,OHS,Inside,THIV-FB-38,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Hành lang trạm điện - MÁY PHÁT tầng trệt,,,OHS,Inside,THIV-FB-48,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Hành lang trạm điện - MÁY PHÁT tầng 1,,,OHS,Inside,THIV-FB-50,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Hành lang cửa kho- KHO CHẤT THẢI,,,OHS,Inside,THIV-FB-59,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng trệt - TRẠM NGHIỀN,,,OHS,Inside,THIV-FB-73,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng 4 - TRẠM NGHIỀN,,,OHS,Inside,THIV-FB-77,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng 1 - KHU ĐÓNG BAO,,,OHS,Inside,THIV-FB-83,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng 1 - KHU ĐÓNG BAO,,,OHS,Inside,THIV-FB-84,vu.ho@siamcitycement.com,thiv,vn,extinguisher
kHO SAG-H8,,,OHS,Inside,THIV-FB-100,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Kho chứa hóa chất,,,OHS,Inside,THIV-FB-103,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng 1 Khu Đóng Bao,,,OHS,Inside,THIV-FB-115,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Khu vưc trạm điện cổng chính_ Phía tay phải tầng trệt,,,OHS,Inside,THIV-FB-05,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Khu vực cầu cân_ Lối ra nhà máy,,,OHS,Inside,THIV-FB-08,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Kho vật tư bên trong workshop ( Mr. Dan),,,OHS,Inside,THIV-FB-31,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Trạm điện tầng 1 - TRẠM NGHIỀN,,,OHS,Inside,THIV-FB-53,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Hành lang cửa kho- KHO CHẤT THẢI,,,OHS,Inside,THIV-FB-61,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng trệt lò đốt - HOTGAS,,,OHS,Inside,THIV-FB-65,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng 1 - TRẠM NGHIỀN,,,OHS,Inside,THIV-FB-74,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng 3 - KHU SẠC XÁ,,,OHS,Inside,THIV-FB-96,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Cầu thang trạm điện-KHU XUẤT HÀNG,,,OHS,Inside,THIV-FB-98,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng 1 Khu Đóng Bao,,,OHS,Inside,THIV-FB-114,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Hành lang Admin_ lối cầu thang vào,,,OHS,Inside,THIV-FB-13,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Hành lang văn phòng Admin _ Đối diện căn tin nhân viên Insee,,,OHS,Inside,THIV-FB-15,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Kho OLA cảng nhỏ_LỐI VÀO bên trái tầng trệt,,,OHS,Inside,THIV-FB-19,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Kho OLA cảng nhò - LỐI RA bên trái tầng trệt,,,OHS,Inside,THIV-FB-20,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Khu vực xuất xi măng bao 50 kg cho ghe_ Bên phải cảng nhỏ tầng trệt,,,OHS,Inside,THIV-FB-24,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Khu vực Workshop _ Hành lang tầng 1 trước phòng Mr. Thành,,,OHS,Inside,THIV-FB-39,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Khu vực CCR _ Hành lang tầng TRỆT,,,OHS,Inside,THIV-FB-42,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Hành lang trạm điện - MÁY PHÁT tầng 1,,,OHS,Inside,THIV-FB-49,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Hành lang cửa kho- KHO CHẤT THẢI,,,OHS,Inside,THIV-FB-60,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Trước cửa bên phải kho- KHO CHẤT TRỢ NGHIỀN,,,OHS,Inside,THIV-FB-63,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng trệt lò đốt - HOTGAS,,,OHS,Inside,THIV-FB-67,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng 2 - TRẠM NGHIỀN,,,OHS,Inside,THIV-FB-75,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng 2 - KHU ĐÓNG BAO,,,OHS,Inside,THIV-FB-85,vu.ho@siamcitycement.com,thiv,vn,extinguisher
