place,department,kind,name,type,site,country,id,email,bu
Admin A Vũ,Electrical Maintenance,Dây nguồn socket,,electrical,thiv,thailand,THIV-ADM-24,son.pham@siamcitycement.com,vn
Admin A Vũ,Electrical Maintenance,Xạc bộ đàm,,electrical,thiv,thailand,THIV-ADM-25,son.pham@siamcitycement.com,vn
Admin A Vũ,Electrical Maintenance,Máy tính,,electrical,thiv,thailand,THIV-ADM-26,son.pham@siamcitycement.com,vn
Admin P GĐ,Electrical Maintenance,Dây nguồn socket,,electrical,thiv,thailand,THIV-ADM-27,son.pham@siamcitycement.com,vn
Admin P GĐ,Electrical Maintenance,Máy tính,,electrical,thiv,thailand,THIV-ADM-28,son.pham@siamcitycement.com,vn
Admin P Chị Thanh,Electrical Maintenance,Dây nguồn socket,,electrical,thiv,thailand,THIV-ADM-29,son.pham@siamcitycement.com,vn
Admin A Vũ,Electrical Maintenance,Máy in Passport,,electrical,thiv,thailand,THIV-ADM-30,son.pham@siamcitycement.com,vn
Admin A Vũ,Electrical Maintenance,Máy tính,,electrical,thiv,thailand,THIV-ADM-31,son.pham@siamcitycement.com,vn
Admin A Vũ,Electrical Maintenance,Xạc bộ đàm,,electrical,thiv,thailand,THIV-ADM-32,son.pham@siamcitycement.com,vn
Admin P.GĐ,Electrical Maintenance,Xạc điện thoại bàn,,electrical,thiv,thailand,THIV-ADM-33,son.pham@siamcitycement.com,vn
Admin P Chị Thanh,Electrical Maintenance,UPS,,electrical,thiv,thailand,THIV-ADM-34,son.pham@siamcitycement.com,vn
Admin P họp,Electrical Maintenance,Máy chiếu phòng họp,,electrical,thiv,thailand,THIV-ADM-35,son.pham@siamcitycement.com,vn
Admin P họp,Electrical Maintenance,TV sony,,electrical,thiv,thailand,THIV-ADM-36,son.pham@siamcitycement.com,vn
Admin,Electrical Maintenance,Máy photo Fujixerox,,electrical,thiv,thailand,THIV-ADM-37,son.pham@siamcitycement.com,vn
Admin TT,Electrical Maintenance,UPS,,electrical,thiv,thailand,THIV-ADM-38,son.pham@siamcitycement.com,vn
Admin TT,Electrical Maintenance,Máy đánh giày,,electrical,thiv,thailand,THIV-ADM-39,son.pham@siamcitycement.com,vn
Admin TT,Electrical Maintenance,Dây nguồn socket,,electrical,thiv,thailand,THIV-ADM-40,son.pham@siamcitycement.com,vn
Admin P IT,Electrical Maintenance,Dây nguồn socket,,electrical,thiv,thailand,THIV-ADM-41,son.pham@siamcitycement.com,vn
Admin P IT,Electrical Maintenance,UPS,,electrical,thiv,thailand,THIV-ADM-42,son.pham@siamcitycement.com,vn
Canteen Insee,Electrical Maintenance,Tủ đông Santaky,,electrical,thiv,thailand,THIV-CANTE-01,son.pham@siamcitycement.com,vn
Canteen Insee,Electrical Maintenance,Máy nươc nóng,,electrical,thiv,thailand,THIV-CANTE-02,son.pham@siamcitycement.com,vn
Canteen Insee,Electrical Maintenance,Nồi cơm điện,,electrical,thiv,thailand,THIV-CANTE-03,son.pham@siamcitycement.com,vn
Canteen Insee,Electrical Maintenance,Nồi cơm điện,,electrical,thiv,thailand,THIV-CANTE-04,son.pham@siamcitycement.com,vn
Canteen Insee,Electrical Maintenance,Máy bắt côn trùng,,electrical,thiv,thailand,THIV-CANTE-05,son.pham@siamcitycement.com,vn
Canteen Insee,Electrical Maintenance,Tủ làm mát Aláska,,electrical,thiv,thailand,THIV-CANTE-06,son.pham@siamcitycement.com,vn
Canteen Insee,Electrical Maintenance,Tủ Lạnh Sanyo,,electrical,thiv,thailand,THIV-CANTE-07,son.pham@siamcitycement.com,vn
Canteen Insee,Electrical Maintenance,Tủ Lạnh Toshiba,,electrical,thiv,thailand,THIV-CANTE-08,son.pham@siamcitycement.com,vn
Canteen Insee,Electrical Maintenance,Tủ đông Santaky,,electrical,thiv,thailand,THIV-CANTE-09,son.pham@siamcitycement.com,vn
Canteen Insee,Electrical Maintenance,TV LG,,electrical,thiv,thailand,THIV-CANTE-10,son.pham@siamcitycement.com,vn
Canteen Insee,Electrical Maintenance,Quạt treo tường,,electrical,thiv,thailand,THIV-CANTE-11,son.pham@siamcitycement.com,vn
Canteen Insee,Electrical Maintenance,Quạt treo tường,,electrical,thiv,thailand,THIV-CANTE-12,son.pham@siamcitycement.com,vn
Canteen Insee,Electrical Maintenance,Quạt treo tường,,electrical,thiv,thailand,THIV-CANTE-13,son.pham@siamcitycement.com,vn
Canteen Insee,Electrical Maintenance,Quạt treo tường,,electrical,thiv,thailand,THIV-CANTE-14,son.pham@siamcitycement.com,vn
Canteen Insee,Electrical Maintenance,Quạt treo tường,,electrical,thiv,thailand,THIV-CANTE-15,son.pham@siamcitycement.com,vn
Canteen Insee,Electrical Maintenance,Quạt treo tường,,electrical,thiv,thailand,THIV-CANTE-16,son.pham@siamcitycement.com,vn
Canteen Insee,Electrical Maintenance,Quạt treo tường,,electrical,thiv,thailand,THIV-CANTE-17,son.pham@siamcitycement.com,vn
Canteen Insee,Electrical Maintenance,Tủ làm mát Darling,,electrical,thiv,thailand,THIV-CANTE-18,son.pham@siamcitycement.com,vn
Phòng Y Tế,Electrical Maintenance,Máy tạo Oxy,,electrical,thiv,thailand,THIV-PYT-01,son.pham@siamcitycement.com,vn
Phòng Y Tế,Electrical Maintenance,Dây nguồn,,electrical,thiv,thailand,THIV-PYT-02,son.pham@siamcitycement.com,vn
Phòng Y Tế,Electrical Maintenance,Máy nước nóng,,electrical,thiv,thailand,THIV-PYT-03,son.pham@siamcitycement.com,vn
Phòng Y Tế,Electrical Maintenance,Máy Tính,,electrical,thiv,thailand,THIV-PYT-04,son.pham@siamcitycement.com,vn
Phòng Y Tế,Electrical Maintenance,Tủ lạnh,,electrical,thiv,thailand,THIV-PYT-05,son.pham@siamcitycement.com,vn
Phòng Y Tế,Electrical Maintenance,UPS,,electrical,thiv,thailand,THIV-PYT-06,son.pham@siamcitycement.com,vn
Phòng Y Tế,Electrical Maintenance,Đèn giải phẩu,,electrical,thiv,thailand,THIV-PYT-07,son.pham@siamcitycement.com,vn
Phòng Y Tế,Electrical Maintenance,Máy hút đờm,,electrical,thiv,thailand,THIV-PYT-08,son.pham@siamcitycement.com,vn
Phòng Y Tế,Electrical Maintenance,Máy in HP,,electrical,thiv,thailand,THIV-PYT-09,son.pham@siamcitycement.com,vn
Phòng Y Tế,Electrical Maintenance,Loa vi tính,,electrical,thiv,thailand,THIV-PYT-10,son.pham@siamcitycement.com,vn
Phòng Y Tế,Electrical Maintenance,Ấm siêu tốc,,electrical,thiv,thailand,THIV-PYT-11,son.pham@siamcitycement.com,vn
Phòng Y Tế,Electrical Maintenance,Máy siêu âm,,electrical,thiv,thailand,THIV-PYT-12,son.pham@siamcitycement.com,vn
Phòng Y Tế,Electrical Maintenance,Máy giặc,,electrical,thiv,thailand,THIV-PYT-13,son.pham@siamcitycement.com,vn
Phòng Y Tế,Electrical Maintenance,Sạc bộ đàm,,electrical,thiv,thailand,THIV-PYT-14,son.pham@siamcitycement.com,vn
Phòng Bảo Vệ cổng chính,Electrical Maintenance,Xạc điên thoại bàn,,electrical,thiv,thailand,THIV-PBV-01,son.pham@siamcitycement.com,vn
Phòng Bảo Vệ cổng chính,Electrical Maintenance,Dây nguồn socket,,electrical,thiv,thailand,THIV-PBV-02,son.pham@siamcitycement.com,vn
Phòng Bảo Vệ cổng chính,Electrical Maintenance,Máy Tính,,electrical,thiv,thailand,THIV-PBV-03,son.pham@siamcitycement.com,vn
Phòng Bảo Vệ cổng chính,Electrical Maintenance,Xạc bộ đàm,,electrical,thiv,thailand,THIV-PBV-04,son.pham@siamcitycement.com,vn
Phòng Bảo Vệ cổng chính,Electrical Maintenance,UPS,,electrical,thiv,thailand,THIV-PBV-05,son.pham@siamcitycement.com,vn
Phòng Bảo Vệ cổng chính,Electrical Maintenance,âm li,,electrical,thiv,thailand,THIV-PBV-06,son.pham@siamcitycement.com,vn
Phòng Bảo Vệ Cổng phụ,Electrical Maintenance,TV Samsung,,electrical,thiv,thailand,THIV-PBV-07,son.pham@siamcitycement.com,vn
Phòng Bảo Vệ Cổng phụ,Electrical Maintenance,Xạc bộ đàm,,electrical,thiv,thailand,THIV-PBV-08,son.pham@siamcitycement.com,vn
Phòng Bảo Vệ Cổng phụ,Electrical Maintenance,Dây nguồn socket,,electrical,thiv,thailand,THIV-PBV-09,son.pham@siamcitycement.com,vn
Phòng Bảo Vệ Cổng phụ,Electrical Maintenance,Máy tính,,electrical,thiv,thailand,THIV-PBV-10,son.pham@siamcitycement.com,vn
Phòng Bảo Vệ Cổng phụ,Electrical Maintenance,Máy tính,,electrical,thiv,thailand,THIV-PBV-11,son.pham@siamcitycement.com,vn
Phòng Bảo Vệ Cổng phụ,Electrical Maintenance,Dây nguồn socket,,electrical,thiv,thailand,THIV-PBV-12,son.pham@siamcitycement.com,vn
Phòng Bảo Vệ Cổng phụ,Electrical Maintenance,TV LG,,electrical,thiv,thailand,THIV-PBV-13,son.pham@siamcitycement.com,vn
Nhà Huấn Luyện,Electrical Maintenance,Máy nước nóng,,electrical,thiv,thailand,THIV-PHL-01,son.pham@siamcitycement.com,vn
Nhà Huấn Luyện,Electrical Maintenance,Máy tính,,electrical,thiv,thailand,THIV-PHL-02,son.pham@siamcitycement.com,vn
Nhà Huấn Luyện,Electrical Maintenance,Máy chiếu,,electrical,thiv,thailand,THIV-PHL-03,son.pham@siamcitycement.com,vn
Nhà Huấn Luyện,Electrical Maintenance,Loa Vi tính,,electrical,thiv,thailand,THIV-PHL-04,son.pham@siamcitycement.com,vn
Canteen tài xế,Electrical Maintenance,Tivi sony,,electrical,thiv,thailand,THIV-CANT-TX-01,son.pham@siamcitycement.com,vn
Canteen tài xế,Electrical Maintenance,Máy nóng lạnh,,electrical,thiv,thailand,THIV-CANT-TX-02,son.pham@siamcitycement.com,vn
Canteen tài xế,Electrical Maintenance,Tủ mát,,electrical,thiv,thailand,THIV-CANT-TX-03,son.pham@siamcitycement.com,vn
Phòng nghỉ tãi xế nhân viên,Electrical Maintenance,Quạt treo tường,,electrical,thiv,thailand,THIV-PNTX-01,son.pham@siamcitycement.com,vn
Phòng nghỉ tãi xế nhân viên,Electrical Maintenance,Quạt treo tường,,electrical,thiv,thailand,THIV-PNTX-02,son.pham@siamcitycement.com,vn
Locker nữ,Electrical Maintenance,Quạt đứng,,electrical,thiv,thailand,THIV-LOC-N-01,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Quạt hút,,electrical,thiv,thailand,THIV-PL-01,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Dây nguồn SocKet,,electrical,thiv,thailand,THIV-PL-02,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Dây nguồn SocKet,,electrical,thiv,thailand,THIV-PL-03,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Máy hút bụi 71105,,electrical,thiv,thailand,THIV-PL-04,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Máy hút bụi,,electrical,thiv,thailand,THIV-PL-05,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Máy hút bụi,,electrical,thiv,thailand,THIV-PL-06,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Máy in HP,,electrical,thiv,thailand,THIV-PL-07,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Máy nghiền đĩa,,electrical,thiv,thailand,THIV-PL-08,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Máy nước nóng,,electrical,thiv,thailand,THIV-PL-09,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Máy đập hàm,,electrical,thiv,thailand,THIV-PL-10,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Máy sàng khí,,electrical,thiv,thailand,THIV-PL-11,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Máy Tính,,electrical,thiv,thailand,THIV-PL-12,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Máy ép viên,,electrical,thiv,thailand,THIV-PL-13,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Máy Tính,,electrical,thiv,thailand,THIV-PL-14,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Máy Tính,,electrical,thiv,thailand,THIV-PL-15,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Máy Tính,,electrical,thiv,thailand,THIV-PL-16,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Maáy X Ray,,electrical,thiv,thailand,THIV-PL-17,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Lò 1000 độ C,,electrical,thiv,thailand,THIV-PL-18,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,UPS,,electrical,thiv,thailand,THIV-PL-19,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Máy sấy 45 độ C,,electrical,thiv,thailand,THIV-PL-20,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Cân mẫu,,electrical,thiv,thailand,THIV-PL-21,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Cân mẫu,,electrical,thiv,thailand,THIV-PL-22,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Cân mẫu,,electrical,thiv,thailand,THIV-PL-23,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Cân mẫu,,electrical,thiv,thailand,THIV-PL-24,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Máy sấy,,electrical,thiv,thailand,THIV-PL-25,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Máy trộn vữa,,electrical,thiv,thailand,THIV-PL-26,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Bể ngâm mẫu,,electrical,thiv,thailand,THIV-PL-27,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Bể ngâm mẫu,,electrical,thiv,thailand,THIV-PL-28,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Thiết bị điều nhiệt Le Chatelier,,electrical,thiv,thailand,THIV-PL-29,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,UPS p X ray,,electrical,thiv,thailand,THIV-PL-30,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Maáy tính,,electrical,thiv,thailand,THIV-PL-31,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,UPS,,electrical,thiv,thailand,THIV-PL-32,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Sạc bộ đàm,,electrical,thiv,thailand,THIV-PL-33,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Máy siêu âm,,electrical,thiv,thailand,THIV-PL-34,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Máy Photocopy ( Pnghiệp ),,electrical,thiv,thailand,THIV-PL-35,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Máy nén cường độ,,electrical,thiv,thailand,THIV-PL-36,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Bàn dằn,,electrical,thiv,thailand,THIV-PL-37,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Tủ dưởng mẫu,,electrical,thiv,thailand,THIV-PL-38,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Máy trộn vữa,,electrical,thiv,thailand,THIV-PL-39,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Máy cất nước,,electrical,thiv,thailand,THIV-PL-40,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Cân mẫu,,electrical,thiv,thailand,THIV-PL-41,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Máy in,,electrical,thiv,thailand,THIV-PL-42,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Bể ngăm mẫu,,electrical,thiv,thailand,THIV-PL-43,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Tủ dưỡng mẫu,,electrical,thiv,thailand,THIV-PL-44,son.pham@siamcitycement.com,vn
Phòng Lab,Electrical Maintenance,Máy test bao,,electrical,thiv,thailand,THIV-PL-45,son.pham@siamcitycement.com,vn
Cầu cân,Electrical Maintenance,Sạc bộ đàm motorola,,electrical,thiv,thailand,THIV-CC-01,son.pham@siamcitycement.com,vn
Cầu cân,Electrical Maintenance,Sạc bộ đàm Panasonic,,electrical,thiv,thailand,THIV-CC-02,son.pham@siamcitycement.com,vn
Cầu cân,Electrical Maintenance,Dây nguồn,,electrical,thiv,thailand,THIV-CC-03,son.pham@siamcitycement.com,vn
Cầu cân,Electrical Maintenance,Dây nguồn,,electrical,thiv,thailand,THIV-CC-04,son.pham@siamcitycement.com,vn
Cầu cân,Electrical Maintenance,UPS APC,,electrical,thiv,thailand,THIV-CC-05,son.pham@siamcitycement.com,vn
Cầu cân,Electrical Maintenance,Lò Vi Sóng Electrolux,,electrical,thiv,thailand,THIV-CC-06,son.pham@siamcitycement.com,vn
Cầu cân,Electrical Maintenance,UPS APC,,electrical,thiv,thailand,THIV-CC-07,son.pham@siamcitycement.com,vn
Cầu cân,Electrical Maintenance,Máy in EPSon,,electrical,thiv,thailand,THIV-CC-08,son.pham@siamcitycement.com,vn
Cầu cân,Electrical Maintenance,Máy in,,electrical,thiv,thailand,THIV-CC-09,son.pham@siamcitycement.com,vn
Cầu cân,Electrical Maintenance,Máy nước nóng,,electrical,thiv,thailand,THIV-CC-10,son.pham@siamcitycement.com,vn
Cầu cân,Electrical Maintenance,Máy tính,,electrical,thiv,thailand,THIV-CC-11,son.pham@siamcitycement.com,vn
Cầu cân,Electrical Maintenance,Máy Tính,,electrical,thiv,thailand,THIV-CC-12,son.pham@siamcitycement.com,vn
Cầu cân,Electrical Maintenance,May in Brother,,electrical,thiv,thailand,THIV-CC-13,son.pham@siamcitycement.com,vn
Phòng Barge Loading,Electrical Maintenance,Máy tính,,electrical,thiv,thailand,THIV-BL-01,son.pham@siamcitycement.com,vn
Phòng Barge Loading,Electrical Maintenance,Âmli,,electrical,thiv,thailand,THIV-BL-02,son.pham@siamcitycement.com,vn
Phòng Barge Loading,Electrical Maintenance,Sạc bộ đàm,,electrical,thiv,thailand,THIV-BL-03,son.pham@siamcitycement.com,vn
Phòng Barge Loading,Electrical Maintenance,Máy in Canon,,electrical,thiv,thailand,THIV-BL-04,son.pham@siamcitycement.com,vn
Phòng Barge Loading,Electrical Maintenance,Máy in Epson,,electrical,thiv,thailand,THIV-BL-05,son.pham@siamcitycement.com,vn
Phòng Barge Loading,Electrical Maintenance,Máy nước nóng,,electrical,thiv,thailand,THIV-BL-06,son.pham@siamcitycement.com,vn
Phòng Barge Loading,Electrical Maintenance,Máy tính,,electrical,thiv,thailand,THIV-BL-07,son.pham@siamcitycement.com,vn
Phòng Barge Loading,Electrical Maintenance,UPS APC,,electrical,thiv,thailand,THIV-BL-08,son.pham@siamcitycement.com,vn
Phòng Barge Loading,Electrical Maintenance,UPS,,electrical,thiv,thailand,THIV-BL-09,son.pham@siamcitycement.com,vn
Phòng Barge Loading,Electrical Maintenance,UPS,,electrical,thiv,thailand,THIV-BL-10,son.pham@siamcitycement.com,vn
Phòng Barge Loading,Electrical Maintenance,UPS,,electrical,thiv,thailand,THIV-BL-11,son.pham@siamcitycement.com,vn
Phòng Barge Loading,Electrical Maintenance,Dây nguồn SocKet,,electrical,thiv,thailand,THIV-BL-12,son.pham@siamcitycement.com,vn
Phong bao ve Barge,Electrical Maintenance,Quạt tường,,electrical,thiv,thailand,THIV-BL-13,son.pham@siamcitycement.com,vn
Phong bao ve Barge,Electrical Maintenance,Charge bộ đàm,,electrical,thiv,thailand,THIV-BL-14,son.pham@siamcitycement.com,vn
Phòng chờ Barge,Electrical Maintenance,Máy nước nóng,,electrical,thiv,thailand,THIV-PCB-01,son.pham@siamcitycement.com,vn
Truck loader,Electrical Maintenance,Sạc bộ đàm,,electrical,thiv,thailand,THIV-TRL-01,son.pham@siamcitycement.com,vn
Truck loader,Electrical Maintenance,UPS,,electrical,thiv,thailand,THIV-TRL-02,son.pham@siamcitycement.com,vn
Truck loader,Electrical Maintenance,Máy tính,,electrical,thiv,thailand,THIV-TRL-03,son.pham@siamcitycement.com,vn
Truck loader,Electrical Maintenance,May tinh counter,,electrical,thiv,thailand,THIV-TRL-04,son.pham@siamcitycement.com,vn
Truck loader,Electrical Maintenance,Máy nước nóng,,electrical,thiv,thailand,THIV-TRL-05,son.pham@siamcitycement.com,vn
Truck loader,Electrical Maintenance,Sạc điện thoại cầm tay,,electrical,thiv,thailand,THIV-TRL-06,son.pham@siamcitycement.com,vn
Truck loader,Electrical Maintenance,Dây nguuồn socket,,electrical,thiv,thailand,THIV-TRL-07,son.pham@siamcitycement.com,vn
Truck loader,Electrical Maintenance,Dây nguuồn socket,,electrical,thiv,thailand,THIV-TRL-08,son.pham@siamcitycement.com,vn
Truck loader,Electrical Maintenance,Dây nguuồn socket,,electrical,thiv,thailand,THIV-TRL-09,son.pham@siamcitycement.com,vn
Truck loader,Electrical Maintenance,TV Sony,,electrical,thiv,thailand,THIV-TRL-10,son.pham@siamcitycement.com,vn
Truck loader,Electrical Maintenance,CPU,,electrical,thiv,thailand,THIV-TRL-11,son.pham@siamcitycement.com,vn
Truck loader,Electrical Maintenance,CPU,,electrical,thiv,thailand,THIV-TRL-12,son.pham@siamcitycement.com,vn
Truck loader,Electrical Maintenance,Bộ chia mạng,,electrical,thiv,thailand,THIV-TRL-13,son.pham@siamcitycement.com,vn
Truck loader,Electrical Maintenance,Amli,,electrical,thiv,thailand,THIV-TRL-14,son.pham@siamcitycement.com,vn
Packer,Electrical Maintenance,Sạc cân điện tử,,electrical,thiv,thailand,THIV-PK-01,son.pham@siamcitycement.com,vn
Packer,Electrical Maintenance,Sạc bộ đàm,,electrical,thiv,thailand,THIV-PK-02,son.pham@siamcitycement.com,vn
Packer,Electrical Maintenance,Quạt treo tường,,electrical,thiv,thailand,THIV-PK-03,son.pham@siamcitycement.com,vn
Packer,Electrical Maintenance,Máy tính,,electrical,thiv,thailand,THIV-PK-04,son.pham@siamcitycement.com,vn
Packer,Electrical Maintenance,Máy nước nóng,,electrical,thiv,thailand,THIV-PK-05,son.pham@siamcitycement.com,vn
Phòng chờ Bulk loader,Electrical Maintenance,Socket dây nguồn,,electrical,thiv,thailand,THIV-PCBL-01,son.pham@siamcitycement.com,vn
Phòng chờ Bulk loader,Electrical Maintenance,UPS,,electrical,thiv,thailand,THIV-PCBL-02,son.pham@siamcitycement.com,vn
Phòng chờ Bulk loader,Electrical Maintenance,Sạc bộ đàm,,electrical,thiv,thailand,THIV-PCBL-03,son.pham@siamcitycement.com,vn
Phòng chờ Bulk loader,Electrical Maintenance,Quạt đứng,,electrical,thiv,thailand,THIV-PCBL-04,son.pham@siamcitycement.com,vn
Phòng chờ Bulk loader,Electrical Maintenance,Máy nước nóng,,electrical,thiv,thailand,THIV-PCBL-05,son.pham@siamcitycement.com,vn
P tài xế truck,Electrical Maintenance,Máy nước nóng,,electrical,thiv,thailand,THIV-PCBL-06,son.pham@siamcitycement.com,vn
Phòng Hậu cần,Electrical Maintenance,Máy in brother,,electrical,thiv,thailand,THIV-PHC-01,son.pham@siamcitycement.com,vn
Phòng Hậu cần,Electrical Maintenance,Máy nước nóng,,electrical,thiv,thailand,THIV-PHC-02,son.pham@siamcitycement.com,vn
Phòng Hậu cần,Electrical Maintenance,Máy tính,,electrical,thiv,thailand,THIV-PHC-03,son.pham@siamcitycement.com,vn
Phòng Hậu cần,Electrical Maintenance,Máy tính,,electrical,thiv,thailand,THIV-PHC-04,son.pham@siamcitycement.com,vn
Phòng Hậu cần,Electrical Maintenance,UPS,,electrical,thiv,thailand,THIV-PHC-05,son.pham@siamcitycement.com,vn
Phòng Hậu cần,Electrical Maintenance,Charge bộ đàm,,electrical,thiv,thailand,THIV-PHC-06,son.pham@siamcitycement.com,vn
Phòng Hậu cần,Electrical Maintenance,Charge bộ đàm,,electrical,thiv,thailand,THIV-PHC-07,son.pham@siamcitycement.com,vn
Phòng Hậu cần,Electrical Maintenance,Dây nguồn SocKet,,electrical,thiv,thailand,THIV-PHC-08,son.pham@siamcitycement.com,vn
Phòng Hậu cần,Electrical Maintenance,Máy đánh giá KH,,electrical,thiv,thailand,THIV-PHC-09,son.pham@siamcitycement.com,vn
Phòng Hậu cần,Electrical Maintenance,Quaạt đứng,,electrical,thiv,thailand,THIV-PHC-10,son.pham@siamcitycement.com,vn
