driverName,details,area,id,holder,remark,yRegister,status,site,type,kind,email,bu,department,country
,HONDA,Plant 2,1กจ5713สบ,นาย เกื้อชนม์ ศรีสัมฤทธิ์,MLHJA2124G5099607,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กต9725สบ,นาย โกเศส โสธนะ,MLHJA1441K5694432,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กค3279สบ,นาย วิรัช หอมสุข,MLHJA2120D5075753,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,ขตน819สบ,นาย ชาตรี แก่นจันทา,NS110S0043510,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กค4465สบ,นาย อนิรุทธ์ น้อยเพ็ง,MLHJA2129D5075041,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กจ5709สบ,นาย กิติศักดิ์ ท้าวพา,MLHJA212XG5100789,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กข3146สบ,นางสาว สุภาพ เชื่อมกระโทก,MLHJA2119D5190844,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,SUZUKI,Plant 2,ขนร271สบ,นาย อดุล เกิดกูล,MLCBE4DR000126315,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กข3140สบ,นาย ชาตรี บุญเพ็ง,MLHJA2116D5186993,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กค3027สบ,นาย กษิดิ์เดช ปัญญาเจริญ,MLHJA2129D5075430,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,YAMAHA,Plant 2,1กก38สบ,นาย กรวิษณุ ทองรัตน์,RLCUE052111046230,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กค3025สบ,นาย ชลภัทร เกตุพรหม,MLHJA2123D5075410,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,SUZUKI,Plant 2,1กฐ3281สบ,นาย อัครเดช ชนะชาญมงคล,MLCBF46F000319736,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กจ5712สบ,นาย ศักดิ์ชัย ขาวจัตุรัส,MLHJA2125G5100795,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กง7363สบ,นาย สุพจน์ บัวบาน,MLIIJA2113E5281951,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กฒ6557สบ,นาย ชาตรี บุญเพ็ง,MLHJA1443J5306566,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กข3136สบ,นาย วินัย บุตรวงษ์,MLHJA211OD5192451,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กฒ6559สบ,นาย ศักดา มะสีพันธุ์,MLHJA1440J5328797,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กจ5716สบ,นาย ทศพร บุญเมืองมี,MLHJA2125G100800,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กง3705สบ,นาย จุลทรัพย์ รัตนศิริพงศ์,MLHJF3516F5228258,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กง126สบ,นาย พลากร พันธ์เนียม,MLHJA2116E5242920,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กช8061สบ,นาย ธรรมศักดิ์ สมนันท์,MLHJA2117G5337960,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,SUZUKI,Plant 2,1กฐ3280สบ,นาย สิทธิเดช มองเพ็ชร,MLCBF46F000319817,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กค3026สบ,นาย วัฒนา เนื้อนิ่ม,MLHJA2123D5075083,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กค3028สบ,นาย อัถยุทธ อำพันทอง,MLHJA2123D5075758,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,SUZUKI,Plant 2,1กฐ3279สบ,นาย ธีร์ธวัช ปานบัว,MLCBF46F000320107,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กฌ8272สบ,นาย สัญญา วัฒนไพบูลย์,MIHJA2117H5360110,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กค3941สบ,นาย วีรยุทธ กิจชวลิต,MLHJA2123D5073124,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กข8012สบ,นาย ธณพล บุญชัยศรี,MLHJA1446D5368709,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กจ5715สบ,นาย พิเชษฐ โพธิ์คำ,MLHJA2122G5100785,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,ขตท296สบ,นาย นิติ แก้ววรรณศรี,NF125C0139913,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กค3942สบ,นาย ต่อพงศ์ อธิกวิริยะกุล,MLHJA2123D5073464,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กฆ6337สบ,นางสาว สุกันยา จันทร์พึ่งสุข,MLHJF381XD5136885,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กจ5710สบ,นาย พิษณุ เทียนช้าง,MLHJA212XG5099627,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กฒ6560สบ,นาย ทินภัทร์ สุยะวา,MLHJA1447J5326657,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กจ5711สบ,นาย สงัด เรืองมะเริง,MLHJA2128G5100791,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กค3024สบ,นาย ทศพร บุญเมืองมี,MLHJA2127D5075068,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 2,1กข3137สบ,นางสาว สุภาพ เชื่อมกระโทก,MLHJA2112D5192323,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,YAMAHA,Plant 2,ขนร107สบ,นาย พงศภัค กล้วยคำ,RLCUEO52111041032,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
วิชัย รังสะภูมิ,10 ล้อ,Workshop,PLANT2-84-1225สบ,รถบริษัท,วิชัย รังสะภูมิ,04.09.2024,Active,plant2,truck,รถเฮี๊ยบ,,th,Plant 2,thailand
วิชัย รังสะภูมิ,6 ล้อ,Workshop,PLANT2-85-41154สบ,รถบริษัท,วิชัย รังสะภูมิ,04.09.2024,Active,plant2,truck,รถเฮี๊ยบ,,th,Plant 2,thailand
Plant 2,"NISSAN, 10 ล้อติดเครน, 6 สูบ 225 แรงม้า",Workshop,PLANT2-81-1870สบ,รถบริษัท,"สำหรับใช้งานขนส่ง Spare part งานส่วนซ่อม / ส่วนผลิต / ส่วนไฟฟ้า (ใช้ในงานเบิกของ
ที่พัสดุไปส่งที่หน้างานตาม Plant)",,Active,plant2,truck,รถจดทะเบียนขนส่ง,,th,Plant 2,thailand
วิชัย รังสะภูมิ,TCM,Workshop,PLANT2-WH2-FL-1,บปน.,วิชัย รังสะภูมิ,04.09.2024,Active,plant2,forklift,โฟล์คลิฟท์ขนาด 5.0 ตัน,,th,Plant 2,thailand
วิชัย รังสะภูมิ,MITSUBISHI,Workshop,PLANT2-WH2-FL-2,บปน.,วิชัย รังสะภูมิ,04.09.2024,Active,plant2,forklift,โฟล์คลิฟท์ขนาด 3.0 ตัน,,th,Plant 2,thailand
วิชัย รังสะภูมิ,YALE,Workshop,PLANT2-WH2-FL-3,เช่า,วิชัย รังสะภูมิ,04.09.2024,,plant2,forklift,โฟล์คลิฟท์ขนาด 3.0 ตัน,,th,Plant 2,thailand
ธวัชชัย ธูปหอม,HELI,Workshop,PLANT2-KK2-FL-4,เช่า,ธวัชชัย ธูปหอม,04.09.2024,,plant2,forklift,โฟล์คลิฟท์ขนาด 3.0 ตัน,,th,Plant 2,thailand
อภิเดช สุริยะวงค์,HELI,Workshop,PLANT2-CM2-FL-5,เช่า,อภิเดช สุริยะวงค์,04.09.2024,,plant2,forklift,โฟล์คลิฟท์ขนาด 3.0 ตัน,,th,Plant 2,thailand
,"Operational car, REVO CCAB Toyota Revo (DCAB) Double Cab 4WD 2.4MID M/T + Tiremudterrain",,3ขอ1257,,,,Active,plant3,car,Rental Car,,th,,thailand
,"Operational car, REVO CCAB Toyota REVO Smart Cab 2.4MID 2WD M/T NoR",,3ฒศ6206,,,,Active,plant3,car,Rental Car,,th,,thailand
,"Operational car, REVO CCAB Toyata REVO Smart Cab 2.4MID 2WD M/T NoR",,3ฒษ3314,,,,Active,plant3,car,Rental Car,,th,,thailand
,TOYOTA VIGO กระบะ,,บษ7790สบ,,,,Active,quarry,car,SCCC Asset,,th,,thailand
,"Operational car, REVO CCAB Toyota Revo Double Cab 2.4Mid 4WD M/T (NoRoof)                ",,4ขธ3662,,,,Active,quarry,car,Rental Car,,th,,thailand
,"Operational car, REVO CCAB Toyota Revo (DCAB) Double Cab 4WD 2.4MID M/T + Tiremudterrain",,3ขภ5317,,,,Active,quarry,car,Rental Car,,th,,thailand
,"Operational car, REVO CCAB Toyota Revo (DCAB) Double Cab 4WD 2.4MID M/T + Tiremudterrain",,4ขท8724,,,,Active,quarry,car,Rental Car,,th,,thailand
,"Operational car, REVO CCAB Toyota Revo (DCAB) Double Cab 4WD 2.4MID M/T + Tiremudterrain",,4ขท8730,,,,Active,quarry,car,Rental Car,,th,,thailand
,"Operational car, REVO CCAB Toyota Revo (DCAB) Double Cab 4WD 2.4MID M/T + Tiremudterrain",,4ขท8733,,,,Active,quarry,car,Rental Car,,th,,thailand
,"Operational car, REVO CCAB Toyota Revo (DCAB) Double Cab 4WD 2.4MID M/T + Tiremudterrain",,4ขท8735,,,,Active,quarry,car,Rental Car,,th,,thailand
,"Operational car, REVO CCAB Toyota Revo (DCAB) Double Cab 4WD 2.4MID M/T + Tiremudterrain",,4ขท8739,,,,Active,quarry,car,Rental Car,,th,,thailand
,"Operational car, REVO CCAB Toyota Revo (DCAB) Double Cab 4WD 2.4MID M/T + Tiremudterrain",,4ขท8743,,,,Active,quarry,car,Rental Car,,th,,thailand
,"Operational car, REVO CCAB Toyota Revo (DCAB) Double Cab 4WD 2.4MID M/T + Tiremudterrain",,4ขท8745,,,,Active,quarry,car,Rental Car,,th,,thailand
,"Operational car, REVO CCAB Toyota Revo (DCAB) Double Cab 4WD 2.4MID M/T + Tiremudterrain",,4ขท8752,,,,Active,quarry,car,Rental Car,,th,,thailand
,"Operational car, REVO CCAB Toyota Revo (DCAB) Double Cab 4WD 2.4MID M/T + Tiremudterrain",,4ขท8753,,,,Active,quarry,car,Rental Car,,th,,thailand
,"Operational car, REVO CCAB Toyota REVO Smart Cab 2.4MID 2WD M/T NoR",,3ฒศ6207,,,,Active,plant2,car,Rental Car,,th,,thailand
,"Operational car, REVO CCAB Toyota REVO Double Cab 2.4Mid PRERUNNER 2WD A/T (NoRoof)",,4ขต1054,,,,Active,plant2,car,Rental Car,,th,,thailand
คุณณัฐพล,,,PLANT3-FL-TL11,รถเช่า,,2024-01-09T17:00:00.000Z,Active,plant3,forklift,โฟล์คลิฟท์ ไฟฟ้า 7ตัน,,th,"Palnt 3, Packing & Loading",thailand
อภิชาติ ชุมพินิจ,HELI,Workshop,PLANT3-KK3-FL-3,รถเช่า,,04.09.2024,Active,plant3,forklift,โฟล์คลิฟท์ขนาด 3.0 ตัน,,th,Palnt 3,thailand
คุุณพีระ,,,PLANT3-FL-TL03,รถเช่า,,2024-01-09T17:00:00.000Z,Active,plant3,forklift,โฟล์คลิฟท์ น้ำมัน 3.8ตัน,,th,"Palnt 3, Packing & Loading",thailand
คุณณัฐพล,,,PLANT3-FL-TL09,รถเช่า,,2024-01-09T17:00:00.000Z,Active,plant3,forklift,โฟล์คลิฟท์ ไฟฟ้า 7ตัน,,th,"Palnt 3, Packing & Loading",thailand
นายชัยพงษ์,-,Workshop,PLANT3-WS3-No1,รถเช่า,,22.08.2024,Active,plant3,forklift,โฟล์คลิฟท์ขนาด 3.0 ตัน,,th,Palnt 3,thailand
อภิชาติ ชุมพินิจ,HYUNDAI,Workshop,PLANT3-KK3-FL-7,รถเช่า,,22/01/2025,Active,plant3,forklift,โฟล์คลิฟท์ขนาด 3.0 ตัน,,th,Palnt 3,thailand
คุุณพีระ,,,PLANT3-FL-TL07,รถเช่า,,2024-01-09T17:00:00.000Z,Active,plant3,forklift,โฟล์คลิฟท์ ไฟฟ้า 3.8ตัน,,th,"Palnt 3, Packing & Loading",thailand
อภิชาติ ชุมพินิจ,HELI,Workshop,PLANT3-KK3-FL-5,รถเช่า,,22/01/2025,Active,plant3,forklift,โฟล์คลิฟท์ขนาด 3.0 ตัน,,th,Palnt 3,thailand
กรวิชญ์ ไม้เสนาะ,HYUNDAI,Workshop,PLANT3-CM3-FL-4,รถเช่า,,04.09.2024,Active,plant3,forklift,โฟล์คลิฟท์ขนาด 3.0 ตัน,,th,Palnt 3,thailand
อภิชาติ ชุมพินิจ,HELI,Workshop,PLANT3-KK3-FL-6,รถเช่า,,22/01/2025,Active,plant3,forklift,โฟล์คลิฟท์ขนาด 3.0 ตัน,,th,Palnt 3,thailand
คุุณพีระ,,,PLANT3-FL-TL04,รถเช่า,,2024-01-09T17:00:00.000Z,Active,plant3,forklift,โฟล์คลิฟท์ น้ำมัน 3.8ตัน,,th,"Palnt 3, Packing & Loading",thailand
อภิชาติ ชุมพินิจ,HELI,Workshop,PLANT3-KK3-FL-2,รถเช่า,,04.09.2024,Active,plant3,forklift,โฟล์คลิฟท์ขนาด 3.0 ตัน,,th,Palnt 3,thailand
คุณณัฐพล,,,PLANT3-FL-TL05,รถเช่า,,2024-01-09T17:00:00.000Z,Active,plant3,forklift,โฟล์คลิฟท์ ไฟฟ้า 3.8ตัน,,th,"Palnt 3, Packing & Loading",thailand
คุุณพีระ,,,PLANT3-FL-TL08,รถเช่า,,2024-01-09T17:00:00.000Z,Active,plant3,forklift,โฟล์คลิฟท์ ไฟฟ้า 3.8ตัน,,th,"Palnt 3, Packing & Loading",thailand
คุณณัฐพล,,,PLANT3-FL-TL10,รถเช่า,,2024-01-09T17:00:00.000Z,Active,plant3,forklift,โฟล์คลิฟท์ ไฟฟ้า 7ตัน,,th,"Palnt 3, Packing & Loading",thailand
คุณณัฐพล,,,PLANT3-FL-TL01,รถเช่า,,2024-01-09T17:00:00.000Z,Active,plant3,forklift,โฟล์คลิฟท์ น้ำมัน 3.8ตัน,,th,"Palnt 3, Packing & Loading",thailand
คุณณัฐพล,,,PLANT3-FL-TL02,รถเช่า,,2024-01-09T17:00:00.000Z,Active,plant3,forklift,โฟล์คลิฟท์ น้ำมัน 3.8ตัน,,th,"Palnt 3, Packing & Loading",thailand
คุณณัฐพล,,,PLANT3-FL-TL06,รถเช่า,,2024-01-09T17:00:00.000Z,Active,plant3,forklift,โฟล์คลิฟท์ ไฟฟ้า 3.8ตัน,,th,"Palnt 3, Packing & Loading",thailand
คุุณพีระ,,,PLANT3-FL-TL-SPARE1,รถเช่า,,2024-01-09T17:00:00.000Z,Active,plant3,forklift,โฟล์คลิฟท์ น้ำมัน 3.8ตัน,,th,"Palnt 3, Packing & Loading",thailand
คุณณัฐพล,,,PLANT3-FL-TL-SPARE2,รถเช่า,,2024-01-09T17:00:00.000Z,Active,plant3,forklift,โฟล์คลิฟท์ ไฟฟ้า 7ตัน,,th,"Palnt 3, Packing & Loading",thailand
พิคิด ศิริบูรณ์,HELI,Workshop,PLANT3-WH3-FL-1,รถเช่า,,04.09.2024,Active,plant3,forklift,โฟล์คลิฟท์ขนาด 3.0 ตัน,,th,Palnt 3,thailand
,HONDA,Plant 3,ขตน814สบ,นาย สมโภชน์ พลโก,NF125MC0241898,,Active,plant3,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,YAMAHA,Plant 3,1กก39สบ,นาย ธงชัย หล่อประเสริฐ,RLCUE052111043679,,Active,plant3,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 3,ขตน818สบ,นาย พรชัย บุณฑรักษ์สกุล,NF125MC0241331,,Active,plant3,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,YAMAHA,Plant 3,1กก32สบ,นาย วิทยากร เตโช,RLCUE052111045689,,Active,plant3,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 3,1กข8008สบ,นาย เจริญ ดาโสม,MLHJA2115D5182336,,Active,plant3,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 3,ขตท300สบ,นาย อธิชาติ อุทศรี,NF110TM0136457,,Active,plant3,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 3,ขตท294สบ,นาย ปัญญา แจ่มใจ,NF125MC0169723,,Active,plant3,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,SUZUKI,Plant 3,1กฒ3733สบ,นาย อิทธิพล ญาณวารี,MLCBF46F000321685,,Active,plant3,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,Asset No. 44000436,Workshop,44000436,ส่วนซ่อมเครื่องจักร 3(Oiler),,,Active,plant3,motorbike,รถจักรยานสามล้อไฟฟ้า,,th,,thailand
,HONDA,Plant 3,ขตท307สบ,นาย เทพพิทักษ์ชัย ศรีวิเศษ,CF110C0021877,,Active,plant3,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 3,ขตท299สบ,นาย สงคราม พุฒลา,CF110C0017245,,Active,plant3,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 3,1กข3141สบ,นาย วิทยากร เตโช,MLHJA2110D5184995,,Active,plant3,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 3,1กข8010สบ,นาย อภิชัย สุนทรินทร์,MLHJA2118D5171203,,Active,plant3,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 3,1กช4252สบ,นาย กรวิชญ์ ไม้เสนาะ,MLHJA2118G5335263,,Active,plant3,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 3,ขตน816สบ,นาย พันธิ์ศักดิ์ พัทวี,NF125MC0243866,,Active,plant3,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 3,ขตท305สบ,นาย เนาวรัตน์ พูนชัย,NF110R0235509,,Active,plant3,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,SUZUKI,Plant 3,ขนร269สบ,นาย เลิศยศ ทุมมาวัติ,MLCBE4DR000120959,,Active,plant3,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 3,ขตน821สบ,นาย เกรียงยศ สงวนศักดิ์,NS110S0043569,,Active,plant3,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 3,ขตท293สบ,นาย สายชล เถินมงคล,NF125MC0165418,,Active,plant3,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 3,ขตว231สบ,นาย สุพล บุตมราช,NF125MC0268404,,Active,plant3,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Plant 3,ขตท306สบ,นาย โสรส แป้สูงเนิน,CF110C0016838,,Active,plant3,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,Duleve,Plant 3,PP3-VAC-05,รถเช่า - คุณพีระ,,,Active,plant3,motorbike,รถดูดฝุ่น,,th,,thailand
,HONDA,Plant 3,1กข3139สบ,นาย อำนวย จันทร์รอด,MLHJA2116D5192311,,Active,plant3,motorbike,รถมอเตอร์ไซต์,,th,,thailand
