site,type,country,bu,id,kind,owner,place,location,regDate,status,email
ebkk,extinguisher,thailand,th,EBKK-EBKK-Office-199,Dry Chemical,Office,หน้าห้องประชุม,"EBKK, Office Bangna",,Active,sccoplant.bangna2@siamcitycement.com
ebkk,extinguisher,thailand,th,EBKK-EBKK-C301-H-01,สายช่วยชีวิต,C301,111EB01,หน่วยผลิตบางนา 2 ,,Active,
ebkk,extinguisher,thailand,th,EBKK-EBKK-C302-H-01,สายช่วยชีวิต,C302,111EB03,หน่วยผลิตบางบ่อ ,,Active,
ebkk,extinguisher,thailand,th,EBKK-EBKK-C305-H-01,สายช่วยชีวิต,C305,111EB02,หน่วยผลิตกิ่งแก้ว ,,Active,
ebkk,extinguisher,thailand,th,EBKK-EBKK-C318-H-01,สายช่วยชีวิต,C318,111EB12,หน่วยผลิตคลองสุวรรณภูมิ,,Active,
ebkk,extinguisher,thailand,th,EBKK-EBKK-C345-H-01,สายช่วยชีวิต,C345,111EB06,หน่วยผลิตบางเสาธง ,,Active,
ebkk,extinguisher,thailand,th,EBKK-EBKK-C362-H-01,สายช่วยชีวิต,C362,111IB11,หน่วยผลิตสวนหลวง,,Active,
ebkk,extinguisher,thailand,th,EBKK-EBKK-C365-H-01,สายช่วยชีวิต,C365,111EB08,หน่วยผลิตวงแหวนใต้ 2 ,,Active,
ebkk,extinguisher,thailand,th,EBKK-EBKK-C429-H-01,สายช่วยชีวิต,C429,111EB10,หน่วยผลิตบางปู 2,,Active,
ebkk,extinguisher,thailand,th,EBKK-EBKK-C434-H-01,สายช่วยชีวิต,C434,111EA21,หน่วยผลิตเอเซียไออีสุวรรณภูมิ,,Active,
ebkk,extinguisher,thailand,th,EBKK-EBKK-C449-H-01,สายช่วยชีวิต,C449,111EB13,หน่วยผลิตลาดกระบัง 2,,Active,
office,extinguisher,thailand,th,OFFICE-RMX-1,CO2,RMX,Mobile Office,"NBKK, Gelchiangraknoi",,Active,SCCOPlant.GELChiangraknoi@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-NBKK-2,Dry Chemical,NBKK,Mixer,"NBKK, Gelchiangraknoi",,Active,SCCOPlant.GELChiangraknoi@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-NBKK-3,CO2,NBKK,Mobile Office,"NBKK, หน่วยผลิตคูคต",,Active,sccoplant.kookod@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-NBKK-4,Dry Chemical,NBKK,Mixer,"NBKK, หน่วยผลิตคูคต",,Active,sccoplant.kookod@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-IBKK-5,CO2,IBKK,Mobile Office,"IBKK, หลักสี่",,Active,sccoplant.laksi@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-IBKK-6,Dry Chemical,IBKK,ห้องพัก พจส,"IBKK, หลักสี่",,Active,sccoplant.laksi@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-IBKK-7,Dry Chemical,IBKK,Mixer,"IBKK, หลักสี่",,Active,sccoplant.laksi@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-NBKK-8,Dry Chemical,NBKK,Mixer,"NBKK, ลำลูกกา",,Active,sccoplant.lumlukka@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-NBKK-9,CO2,NBKK,Mobile Office,"NBKK, ลำลูกกา",,Active,sccoplant.lumlukka@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-NBKK-10,CO2,NBKK,Mobile Office,"NBKK, นวนคร",,Active,sccoplant.nawanakhon@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-NBKK-11,Dry Chemical,NBKK,Mixer,"NBKK, นวนคร",,Active,sccoplant.nawanakhon@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-NBKK-12,CO2,NBKK,Mobile Office,"NBKK, ปทุมธานี",,Active,sccoplant.pathumthani@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-NBKK-13,Dry Chemical,NBKK,Mixer,"NBKK, ปทุมธานี",,Active,sccoplant.pathumthani@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-NBKK-14,CO2,NBKK,Mixer,"NBKK, ธัญบุรีคลอง 7",,Active,SCCOPlant.ThanyaburiKlong7@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-NBKK-15,CO2,NBKK,Mobile Office,"NBKK, ธัญบุรีคลอง 7",,Active,SCCOPlant.ThanyaburiKlong7@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-NBKK-16,CO2,NBKK,Mobile Office,"NBKK, PCF3",,Active,SCCOPlant.PCF3@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-NBKK-17,Dry Chemical,NBKK,Mixer,"NBKK, PCF3",,Active,SCCOPlant.PCF3@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-NBKK-18,CO2,NBKK,Mobile Office,"NBKK, PCF4",,Active,SCCOPlant.PCF4@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-NBKK-19,Dry Chemical,NBKK,Mixer,"NBKK, PCF4",,Active,SCCOPlant.PCF4@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-NBKK-20,CO2,NBKK,Mobile Office,"NBKK, PCF5",,Active,SCCOPlantPCF5@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-NBKK-21,Dry Chemical,NBKK,Mixer,"NBKK, PCF5",,Active,SCCOPlantPCF5@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-NBKK-22,CO2,NBKK,Mobile Office,"NBKK, PCF6",,Active,SCCOPlant.PCF6@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-NBKK-23,CO2,NBKK,LAB,"NBKK, PCF6",,Active,SCCOPlant.PCF6@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-NBKK-24,CO2,NBKK,Mobile Office,"NBKK, PCF7",,Active,SCCOPlant.PCF7@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-IBKK-25,CO2,IBKK,Mobile office,"IBKK, บางจาก",,Active,SCCOPlant.Bangchak@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-IBKK-26,Dry Chemical,IBKK,Mixer,"IBKK, บางจาก",,Active,SCCOPlant.Bangchak@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-IBKK-27,CO2,IBKK,Mobile Office,"IBKK, เกษตร 1",,Active,SCCOPlant.Kasetnavamin@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-IBKK-28,Dry Chemical,IBKK,Mixer,"IBKK, เกษตร 1",,Active,SCCOPlant.Kasetnavamin@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-IBKK-29,CO2,IBKK,Mobile Office,"IBKK, เกษตร 2",,Active,sccoplant.kasetnavamin2@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-IBKK-30,Dry Chemical,IBKK,Mixer,"IBKK, เกษตร 2",,Active,sccoplant.kasetnavamin2@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-IBKK-31,CO2,IBKK,Mobile Office,"IBKK, วงศ์สว่าง",,Active,SCCOPlant.Wongsawang@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-IBKK-32,Dry Chemical,IBKK,Mixer,"IBKK, วงศ์สว่าง",,Active,SCCOPlant.Wongsawang@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-IBKK-33,CO2,IBKK,Mobile Office,"IBKK, วงศ์สว่าง2",,Inactive,sccoplant.wongsawang2@inseegroup.onmicrosoft.com
office,extinguisher,thailand,th,OFFICE-IBKK-34,Dry Chemical,IBKK,Mixer,"IBKK, วงศ์สว่าง2",,Inactive,sccoplant.wongsawang2@inseegroup.onmicrosoft.com
office,extinguisher,thailand,th,OFFICE-IBKK-35,Dry Chemical,IBKK,ห้องพัก พจส,"IBKK, วงศ์สว่าง2",,Inactive,sccoplant.wongsawang2@inseegroup.onmicrosoft.com
office,extinguisher,thailand,th,OFFICE-IBKK-36,CO2,IBKK,Mobile Office,"IBKK, พระราม9-3",,Active,sccoplant.praram9_3@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-IBKK-37,Dry Chemical,IBKK,Mixer,"IBKK, พระราม9-3",,Active,sccoplant.praram9_3@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-IBKK-38,CO2,IBKK,Mobile Office,"IBKK, พระราม9-4",,Active,SCCOPlant.Praram9Plant4@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-IBKK-39,Dry Chemical,IBKK,Mixer,"IBKK, พระราม9-4",,Active,SCCOPlant.Praram9Plant4@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-IBKK-40,CO2,IBKK,Mobile office,"IBKK, พระราม9/5",,Active,sccoplant.praram9plant5@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-IBKK-41,Dry Chemical,IBKK,Mixer,"IBKK, พระราม9/5",,Active,sccoplant.praram9plant5@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-IBKK-42,Dry Chemical,IBKK,Mixer,"IBKK, Ramintra3",,Active,sccoplant.ramintra@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-IBKK-43,CO2,IBKK,Mobile Office,"IBKK, Ramintra3",,Active,sccoplant.ramintra@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-IBKK-44,CO2,IBKK,Mobile Office,"IBKK, มีนบุรี",,Active,SCCOPlant.Minburi@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-IBKK-45,Dry Chemical,IBKK,Mixer,"IBKK, มีนบุรี",,Active,SCCOPlant.Minburi@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-EBKK-46,CO2,EBKK,Mobile office,"EBKK, เอเชียไออี",,Active,sccoplant.asiaiesuvarnabhumi@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-EBKK-47,Dry Chemical,EBKK,Mixer,"EBKK, เอเชียไออี",,Active,sccoplant.asiaiesuvarnabhumi@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-EBKK-48,CO2,EBKK,Mobile Office,"EBKK, บางบ่อ",,Active,sccoplant.bangbor@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-EBKK-49,Dry Chemical,EBKK,Mixer,"EBKK, บางบ่อ",,Active,sccoplant.bangbor@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-EBKK-50,Dry Chemical,EBKK,Mixer,"EBKK, บางนา 2",,Active,sccoplant.bangna2@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-EBKK-51,CO2,EBKK,Mobile Office,"EBKK, บางนา 2",,Active,sccoplant.bangna2@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-EBKK-52,CO2,EBKK,Mobile Office,"EBKK, บางปู 2",,Active,sccoplant.bangpoo2@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-EBKK-53,Dry Chemical,EBKK,Mixer,"EBKK, บางปู 2",,Active,sccoplant.bangpoo2@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-EBKK-54,CO2,EBKK,Mobile Office,"EBKK, บางปู 2",,Active,sccoplant.bangpoo2@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-EBKK-55,Dry Chemical,EBKK,Mixer,"EBKK, บางเสาธง",,Active,SCCOPlant.Bangsaothong@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-EBKK-56,CO2,EBKK,Mobile Office,"EBKK, บางเสาธง",,Active,SCCOPlant.Bangsaothong@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-EBKK-57,CO2,EBKK,Mobile Office,"EBKK, กิ่งแก้ว",,Active,sccoplant.kingkaew@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-EBKK-58,Dry Chemical,EBKK,Mixer,"EBKK, กิ่งแก้ว",,Active,sccoplant.kingkaew@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-EBKK-59,Dry Chemical,EBKK,ป้อมรปภ.,"EBKK, กิ่งแก้ว",,Active,sccoplant.kingkaew@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-EBKK-60,CO2,EBKK,Mobile office,"EBKK, คลองสุวรรณภูมิ",,Active,SCCOPlant.KlongSuvarnnabhumi@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-EBKK-61,Dry Chemical,EBKK,Mixer,"EBKK, คลองสุวรรณภูมิ",,Active,SCCOPlant.KlongSuvarnnabhumi@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-EBKK-62,CO2,EBKK,Mobile Office,"EBKK, ลาดกระบัง2",,Active,SCCOPlant.Ladkrabang2@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-EBKK-63,Dry Chemical,EBKK,Mixer,"EBKK, ลาดกระบัง2",,Active,SCCOPlant.Ladkrabang2@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-EBKK-66,Dry Chemical,EBKK,Mixer,"EBKK, วงแหวนใต้2",,Active,SCCOPlant.SouthernRingRoad2@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-EBKK-67,Dry Chemical,EBKK,ที่เก็บก้อนตัวอย่าง,"EBKK, วงแหวนใต้2",,Active,SCCOPlant.SouthernRingRoad2@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-EBKK-68,Dry Chemical,EBKK,ที่ป้อมยาม,"EBKK, วงแหวนใต้2",,Active,SCCOPlant.SouthernRingRoad2@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-EBKK-69,CO2,EBKK,Mobile Office,"EBKK, วงแหวนใต้2",,Active,SCCOPlant.SouthernRingRoad2@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-EBKK-70,CO2,EBKK,Mobile Office,"EBKK, สวนหลวง",,Active,SCCOPlant.RL-SuanLuang@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-EBKK-71,CO2,EBKK,Mixer,"EBKK, สวนหลวง",,Active,SCCOPlant.RL-SuanLuang@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-WBKK-72,CO2,WBKK,Mobile Office,"WBKK, 345highway",,Active,sccoplant.345highway@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-WBKK-73,Dry Chemical,WBKK,Mixer,"WBKK, 345highway",,Active,sccoplant.345highway@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-WBKK-74,CO2,WBKK,Mobile Office,"WBKK, บางบัวทอง",,Active,SCCOPlant.Bangbuathong@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-WBKK-75,Dry Chemical,WBKK,Mixer,"WBKK, บางบัวทอง",,Active,SCCOPlant.Bangbuathong@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-WBKK-76,CO2,WBKK,OFFICE,"WBKK, บางกรวย",,Active,sccoplant.banggruay@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-WBKK-77,Dry Chemical,WBKK,mixer,"WBKK, บางกรวย",,Active,sccoplant.banggruay@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-WBKK-78,CO2,WBKK,Mobile Office,"WBKK, บางขุนเทียน",,Active,SCCOPlant.Bangkhuntien@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-WBKK-79,Dry Chemical,WBKK,บนเครื่องจักร,"WBKK, บางขุนเทียน",,Active,SCCOPlant.Bangkhuntien@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-WBKK-80,CO2,WBKK,Mobile office,"WBKK, บางใหญ่1",,Active,sccoplant.bangyai1@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-WBKK-81,Dry Chemical,WBKK,Mixer,"WBKK, บางใหญ่1",,Active,sccoplant.bangyai1@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-WBKK-82,Dry Chemical,WBKK,Mixer,"WBKK, แจ้งวัฒนะ 3",,Active,sccoplant.chaengwattana3@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-WBKK-83,CO2,WBKK,ห้องพัก พจส,"WBKK, แจ้งวัฒนะ 3",,Active,sccoplant.chaengwattana3@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-WBKK-84,CO2,WBKK,Mobile Office,"WBKK, แจ้งวัฒนะ 3",,Active,sccoplant.chaengwattana3@siamcitycement.com
office,extinguisher,thailand,th,OFFICE-WBKK-85,CO2,WBKK,Mobile office,"WBKK, ปากเกร็ด",,Active,sccoplant.pakkret@siamcitycement.com
